"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"55-C4","3","C4","control.big","untreated forager",1,1,1,3
"55-C5","3","C5","control.big","untreated nurse",1,1,1,3
"55-C6","3","C6","control.big","untreated forager",1,1,0,2
"55-C8","3","C8","control.big","untreated forager",0,1,1,2
"55-C9","3","C9","control.big","untreated forager",1,1,0,2
"55-D11","3","D11","control.big","untreated forager",0,1,1,2
"55-D4","3","D4","control.big","treated nurse",1,1,1,3
"55-D5","3","D5","control.big","untreated forager",1,1,1,3
"55-D7","3","D7","control.big","untreated nurse",0,1,1,2
"55-D9","3","D9","control.big","untreated nurse",1,1,0,2
"55-E11","3","E11","control.big","untreated forager",0,1,1,2
"55-E3","3","E3","control.big","untreated forager",1,1,0,2
"55-E4","3","E4","control.big","untreated forager",1,1,1,3
"55-E5","3","E5","control.big","untreated nurse",1,1,1,3
"55-F4","3","F4","control.big","treated nurse",1,1,1,3
"55-F5","3","F5","control.big","untreated nurse",1,1,1,3
"55-F7","3","F7","control.big","untreated nurse",1,1,0,2
"55-G10","3","G10","control.big","untreated forager",0,1,1,2
"55-G11","3","G11","control.big","untreated forager",0,1,1,2
"55-G12","3","G12","control.big","untreated nurse",0,1,1,2
"55-G4","3","G4","control.big","untreated nurse",1,1,1,3
"55-G5","3","G5","control.big","untreated nurse",1,1,1,3
"55-G8","3","G8","control.big","untreated forager",1,1,1,3
"55-H1","3","H1","control.big","untreated nurse",1,1,1,3
"55-H10","3","H10","control.big","untreated forager",1,1,0,2
"55-H2","3","H2","control.big","untreated forager",1,1,0,2
"55-H4","3","H4","control.big","treated nurse",1,1,1,3
"55-H5","3","H5","control.big","untreated nurse",1,1,1,3
"55-H6","3","H6","control.big","untreated forager",0,1,1,2
"55-H8","3","H8","control.big","untreated forager",1,1,1,3
"56-A1","4","A11","control.big","untreated nurse",1,1,0,2
"56-A2","8","A10","control.small","untreated forager",0,1,1,2
"56-A4","8","A12","control.small","untreated nurse",1,1,0,2
"56-B3","8","B11","control.small","untreated forager",1,1,0,2
"56-B4","8","B12","control.small","treated nurse",1,1,1,3
"56-B5","4","E12","control.small","untreated nurse",1,1,1,3
"56-C2","8","C10","control.small","untreated forager",1,1,0,2
"56-C4","8","C12","control.small","untreated forager",0,1,1,2
"56-D2","8","D10","control.small","untreated forager",1,1,0,2
"56-D3","8","D11","control.small","untreated nurse",1,1,0,2
"56-D4","8","D12","control.small","untreated forager",1,1,0,2
"56-E4","8","E12","control.small","untreated nurse",1,1,0,2
"56-F1","4","A12","control.small","untreated forager",0,1,1,2
"56-F2","8","F10","control.small","untreated forager",1,1,0,2
"56-F3","8","F11","control.small","untreated forager",1,1,1,3
"56-F4","8","F12","control.small","untreated nurse",1,1,0,2
"56-G1","4","B12","control.small","untreated forager",0,1,1,2
"56-G2","8","G10","control.small","untreated nurse",1,1,0,2
"56-G3","8","G11","control.small","untreated forager",1,1,0,2
"56-G4","8","G12","control.small","untreated nurse",1,1,0,2
"56-H2","8","H10","control.small","untreated nurse",1,1,0,2
"56-H3","8","H11","control.small","untreated nurse",1,1,0,2
"56-H4","8","H12","control.small","untreated nurse",1,1,0,2
"58-A10","8","A5","control.big","untreated nurse",1,1,1,3
"58-A11","8","A6","control.big","untreated forager",1,1,0,2
"58-A12","8","A7","control.big","untreated forager",1,1,0,2
"58-A8","8","A3","control.big","untreated nurse",1,1,1,3
"58-B10","8","B5","control.big","untreated forager",1,1,0,2
"58-B11","8","B6","control.big","untreated forager",0,1,1,2
"58-B12","8","B7","control.big","untreated forager",0,1,1,2
"58-B5","8","H8","control.big","untreated forager",1,1,0,2
"58-B8","8","B3","control.big","untreated forager",1,1,0,2
"58-B9","8","B4","control.big","untreated nurse",1,1,0,2
"58-C10","8","C5","control.big","untreated forager",1,1,1,3
"58-C11","8","C6","control.big","untreated nurse",1,1,0,2
"58-C12","8","C7","control.big","untreated forager",0,1,1,2
"58-C5","8","A9","control.big","untreated forager",1,1,1,3
